模型名,总参数(B),激活参数(B),上下文(K),专家数,层数,注意力创新分,多模态分,系列,得分_总参,得分_激活效率,得分_上下文,得分_专家数,得分_层数,得分_注意力创新,得分_多模态
DeepSeek-V3,671,37.0,128,256,61,2,0,DeepSeek 系 (MLA+MoE),0.9196,0.9761,0.6277,0.7500,0.7031,0.3333,0.0000
DeepSeek-R1,671,37.0,128,256,61,2,0,DeepSeek 系 (MLA+MoE),0.9196,0.9761,0.6277,0.7500,0.7031,0.3333,0.0000
Qwen3-Next-80B-A3B,80,3.9,262,512,48,3,0,Qwen 系 (线性+Full 混合),0.4910,0.9827,0.7574,1.0000,0.5000,0.6667,0.0000
Kimi K2,1000,32.0,128,384,61,2,0,Kimi/Ling/MiniMax 系 (KDA/Lightning/MLA),1.0000,1.0000,0.6277,0.8962,0.7031,0.3333,0.0000
Ling-3.0-flash,124,5.1,262,512,42,3,0,Kimi/Ling/MiniMax 系 (KDA/Lightning/MLA),0.5793,0.9906,0.7574,1.0000,0.4062,0.6667,0.0000
MiniMax-01,456,45.9,1000,32,80,4,0,Kimi/Ling/MiniMax 系 (KDA/Lightning/MLA),0.8417,0.9291,1.0000,0.0000,1.0000,1.0000,0.0000
MiniMax-M1,456,45.9,1000,32,80,4,0,Kimi/Ling/MiniMax 系 (KDA/Lightning/MLA),0.8417,0.9291,1.0000,0.0000,1.0000,1.0000,0.0000
Hunyuan-A13B,80,13.0,256,64,32,2,0,其他特色 (混元/ERNIE/Janus),0.4910,0.8652,0.7532,0.2500,0.2500,0.3333,0.0000
ERNIE 4.5,300,47.0,128,128,54,1,3,其他特色 (混元/ERNIE/Janus),0.7574,0.8712,0.6277,0.5000,0.5938,0.0000,0.7500
Janus-Pro-7B,7,7.0,4,0,16,1,4,其他特色 (混元/ERNIE/Janus),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
